		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101010   18   26   25   30   22   28   19   25  5.231151 0.732609 SUCCESS 137
111101100   22   28   25   24   27   25   22   22  1.604825 0.990827 SUCCESS 138
111101110   22   22   28   15   24   19   22   25  6.279727 0.615930 SUCCESS 139
111110000   29   35   27   25   20   36   25   22 12.741973 0.121041 SUCCESS 140
111110010   31   31   28   25   31   25   19   27  7.640757 0.469325 SUCCESS 141
111110100   25   30   35   21   23   27   35   27 12.013796 0.150589 SUCCESS 142
111110110   19   20   25   29   24   21   17   22  6.025526 0.644372 SUCCESS 143
111111000   28   26   29   21   22   37   18   28 11.300181 0.185264 SUCCESS 144
111111010   27   30   33   33   25   19   23   21  9.707458 0.286162 SUCCESS 145
111111100   35   29   27   33   18   27   16   26 14.198329 0.076740 SUCCESS 146
111111110   32   20   30   29   11   22   21   25 13.848142 0.085810 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   24   21   19   26   23   31   35   18 10.264845 0.246927 SUCCESS   0
000000011   27   24   28   21   19   30   27   16  7.171413 0.518257 SUCCESS   1
000000101   21   26   21   27   28   24   38   17 12.087275 0.147352 SUCCESS   2
000000111   22   21   27   25   18   26   23   19  4.195814 0.839038 SUCCESS   3
000001001   30   17   21   21   26   23   26   21  5.416505 0.712272 SUCCESS   4
000001011   31   27   19   24   26   31   30   17  8.977956 0.344159 SUCCESS   5
000001101   20   36   35   27   25   35   31   16 21.182216 0.006679 FAILURE   6
000001111   29   25   24   31   23   28   18    9 15.178059 0.055774 SUCCESS   7
000010001   30   20   23   25   25   21   19   28  4.536072 0.805813 SUCCESS   8
000010011   32   20   22   22   20   18   24   27  6.602773 0.580032 SUCCESS   9
000010101   21   29   27   21   23   15   32   20  9.255326 0.321217 SUCCESS  10
000010111   25   32   18   18   28   27   24   22  7.019158 0.534567 SUCCESS  11
000011001   33   28   22   19   15   23   30   24 10.323761 0.243033 SUCCESS  12
000011011   23   29   23   34   26   26   26   14  9.875601 0.273866 SUCCESS  13
000011101   21   28   30   26   24   20   11   37 17.636652 0.024122 SUCCESS  14
000011111   21   27   27   23   17   30   16   18  9.516808 0.300589 SUCCESS  15
000100011   26   16   22   27   24   21   22   29  5.264250 0.728995 SUCCESS  16
000100101   22   25   26   22   39   28   33   27 13.615125 0.092365 SUCCESS  17
000100111   25   26   24   24   15   18   27   26  6.009639 0.646152 SUCCESS  18
000101001   14   25   22   24   24   22   27   22  5.627676 0.688857 SUCCESS  19
000101011   23   37   24   24   21   23   25   26  7.520277 0.481674 SUCCESS  20
000101101   32   13   19   28   29   32   29   24 13.985833 0.082135 SUCCESS  21
000101111   25   27   24   17   21   33   24   31  8.104805 0.423300 SUCCESS  22
000110011   26   18   27   19   19   26   29   24  5.611789 0.690626 SUCCESS  23
000110101   23   29   28   26   26   30   19   26  4.419563 0.817426 SUCCESS  24
000110111   25   23   27   24   30   30   26   20  3.978685 0.859041 SUCCESS  25
000111001   20   23   37   27   24   23   27   29  9.190452 0.326485 SUCCESS  26
000111011   22   23   26   31   27   17   24   29  5.791185 0.670609 SUCCESS  27
000111101   34   35   23   19   24   16   14   22 17.804795 0.022739 SUCCESS  28
000111111   27   20   20   22   26   30   21   20  4.916710 0.766440 SUCCESS  29
001000011   26   27   18   18   19   18   19   26  8.176961 0.416378 SUCCESS  30
001000101   27   22   25   22   23   30   27   20  3.308099 0.913562 SUCCESS  31
