		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111111100   26   26   29   24   28   24   16   26  4.774384 0.781396 SUCCESS 146
111111110   23   30   31   25   27   18   15   27  9.324172 0.315692 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   19   18   20   27   24   19   28   26  5.975216 0.650008 SUCCESS   0
000000011   27   23   20   33   30   19   21   23  7.460037 0.487906 SUCCESS   1
000000101   18   26   16   28   26   22   21   24  6.229416 0.621551 SUCCESS   2
000000111   24   22   23   30   26   21   26   27  2.656049 0.954057 SUCCESS   3
000001001   21   21   21   26   26   19   28   31  5.315884 0.723342 SUCCESS   4
000001011   16   25   26   32   22   22   18   28  8.331864 0.401742 SUCCESS   5
000001101   26   19   32   30   33   21   31   24 10.597821 0.225545 SUCCESS   6
000001111   27   24   24   25   24   26   20   29  2.147649 0.976147 SUCCESS   7
000010001   28   22   17   25   29   32   18   20  9.026943 0.340028 SUCCESS   8
000010011   26   20   23   26   24   20   24   25  1.968252 0.981970 SUCCESS   9
000010101   20   34   17   22   30   28   25   29 10.079491 0.259491 SUCCESS  10
000010111   23   26   26   31   18   20   26   36 10.511763 0.230926 SUCCESS  11
000011001   30   22   19   25   26   31   30   25  6.122837 0.633474 SUCCESS  12
000011011   22   18   24   29   30   19   22   23  5.772650 0.672681 SUCCESS  13
000011101   16   27   24   25   34   27   17   21 10.297944 0.244734 SUCCESS  14
000011111   20   31   26   25   23   22   22   25  3.375621 0.908625 SUCCESS  15
000100011   23   25   13   24   29   35   19   16 15.491175 0.050270 SUCCESS  16
000100101   18   23   18   26   24   33   31   24  8.654910 0.372238 SUCCESS  17
000100111   30   22   26   23   26   20   28   17  5.561478 0.696220 SUCCESS  18
000101001   23   28   28   21   28   22   22   21  3.197549 0.921355 SUCCESS  19
000101011   24   32   13   23   31   28   31   19 13.519138 0.095192 SUCCESS  20
000101101   28   20   26   22   31   18   22   26  5.654818 0.685834 SUCCESS  21
000101111   24   29   33   31   15   21   26   25 10.240352 0.248560 SUCCESS  22
000110011   25   32   18   32   29   34   33   24 14.590221 0.067621 SUCCESS  23
000110101   31   29   27   30   32   36   20   24 13.336431 0.100786 SUCCESS  24
000110111   20   27   26   15   32   17   29   20 11.441183 0.177932 SUCCESS  25
000111001   21   18   18   21   18   29   20   31  9.745191 0.283368 SUCCESS  26
000111011   21   28   22   26   30   28   25   14  7.866492 0.446619 SUCCESS  27
000111101   29   25   28   23   28   18   24   19  5.070289 0.750038 SUCCESS  28
000111111   21   27   32   24   29   30   19   25  6.707365 0.568509 SUCCESS  29
001000011   24   28   26   21   24   30   21   26  3.088322 0.928693 SUCCESS  30
001000101   35   22   32   20   22   24   20   28  9.892812 0.272630 SUCCESS  31
